Land Size(M2),Building Size(M2),Bedrooms,Bathrooms,Longitude,Latitude,Price(Php),Category_Apartment,Category_Commercial,Category_Condominium,Category_House,Category_Land,"Sub-Category_Apartment,apartments","Sub-Category_Apartment,loft","Sub-Category_Apartment,room-1","Sub-Category_Commercial,building","Sub-Category_Commercial,coworking","Sub-Category_Commercial,offices","Sub-Category_Commercial,retail","Sub-Category_Commercial,serviced-office","Sub-Category_Commercial,warehouse","Sub-Category_Condominium,3-bedroom","Sub-Category_Condominium,4-bedroom","Sub-Category_Condominium,dormitory","Sub-Category_Condominium,double-bedroom","Sub-Category_Condominium,loft-1","Sub-Category_Condominium,other-4","Sub-Category_Condominium,penthouse-1","Sub-Category_Condominium,single-bedroom","Sub-Category_Condominium,studio","Sub-Category_House,beach-house","Sub-Category_House,single-family-house","Sub-Category_House,townhouse","Sub-Category_House,villas","Sub-Category_Land,agricutural-lot","Sub-Category_Land,beach-lot","Sub-Category_Land,commercial-lot","Sub-Category_Land,memorial-lot","Sub-Category_Land,residential-lot",Location_Cluster
84.30000000000001,128.0,3.0,2.0,121.0553,14.53712,19000000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
101.0,60.0,3.0,2.0,120.665111,15.169115,3700000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7
100.0,75.0,3.0,2.0,125.5343474,7.0909386,3790000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3
1215.5,728.0,7.0,7.199999999999999,120.470266,17.43068,3066000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5
537.0,386.0,4.4,4.6,121.379905,13.691466,20191200.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
111.79999999999995,162.0,3.0,3.0,121.0206028,14.5596699,29500000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
511.0,648.0,5.4,5.4,123.832558,10.2650223,2033000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
300.0,287.6,4.3999999999999995,3.6,122.2664748,14.5353804,80000000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
240.0,440.0,4.0,5.0,120.635072,15.10712,19700000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7
350.0,391.0,3.0,5.0,121.380557,14.114565,1960000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
570.0,735.0,6.0,6.0,121.022321,14.405874,110503536.64125,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
55.599999999999966,73.0,2.0,2.0,121.081903,14.605396,8300000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
241.8,41.883999999999986,1.0,1.0,123.559076,8.578166,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8
241.8,41.883999999999986,1.0,1.0,123.559076,8.578166,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8
241.8,41.883999999999986,1.0,1.0,123.559076,8.578166,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8
241.8,41.883999999999986,1.0,1.0,123.559076,8.578166,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8
217.6,5.0,1.0,3.0,120.79782,14.148531,100000000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
5.684341886080802e-14,58.0,7.0,2.0,125.6539362,7.3289739,10000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
180.0,147.6,4.0,3.4,121.0735873,14.2615584,4700000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
80.0,85.0,3.0,2.0,120.7779085,14.8144443,4100000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7
1215.5,728.0,7.0,7.199999999999999,121.147371,15.579175,8000000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7
100.0,35.099999999999994,2.0,1.0,125.4649667,7.07583,2300000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3
